Date,Sum_of_24_Instant_kW,Total_kWmin_for_Date
2025-01-10,115.43691164003158,6926.214698401895
2025-01-11,115.56796137635943,6934.0776825815665
2025-01-12,115.90676673437181,6954.406004062309
2025-01-13,115.93967497207554,6956.380498324532
2025-01-14,115.66335793716604,6939.801476229963
2025-01-15,124.28360024230646,7457.016014538388
2025-01-16,135.60750104291932,8136.45006257516
2025-01-17,135.9066103875196,8154.396623251177
2025-01-18,135.58052753237473,8134.831651942484
2025-01-19,122.63353762580682,7358.012257548409
2025-01-20,123.35433826074274,7401.260295644564
