Timestamp,DayOfWeek,Hour,Solar_kW,Wind_kW,Grid_Generation_kW,Grid_SellingRate_$per_kWh,Temperature_C,Rain_mm,Humidity_%,AirFlow_mps,CBS_Load_kW,CI_Load_kW
2025-03-14 00:00:00,Friday,0.0,0.0,25.601091832757596,501.97316968394074,0.15,28.95,0.6,70.35,0.79,10.383717364576455,4.495775904004099
2025-03-14 00:30:00,Friday,0.5,0.0,11.987527575671159,500.49512863264476,0.15,29.86,0.0,72.59,0.5,9.785976967911882,4.458438744682097
2025-03-14 01:00:00,Friday,1.0,0.0,19.651457921728138,493.9934756431672,0.15,31.68,0.28,69.5,0.5,10.47371991052332,4.61940530669516
2025-03-14 01:30:00,Friday,1.5,0.0,12.865557861858221,490.68777042230437,0.15,29.25,0.0,73.21,0.5,10.104431797502377,4.310197568270764
2025-03-14 02:00:00,Friday,2.0,0.0,17.520552307715494,505.50265646722227,0.15,30.39,0.07,70.12,0.5,9.849448152205355,4.430716468548801
2025-03-14 02:30:00,Friday,2.5,0.0,13.522138427758419,500.85392166316495,0.15,29.19,0.0,72.56,0.86,10.44716616505438,4.741378892483954
2025-03-14 03:00:00,Friday,3.0,0.0,11.969554852898998,507.26206851751186,0.15,28.43,0.11,74.87,1.18,9.550896030272161,4.8453301992617455
2025-03-14 03:30:00,Friday,3.5,0.0,14.546567285548889,505.21570097233797,0.15,29.66,0.0,70.23,1.56,8.690127447955128,4.843501874680179
2025-03-14 04:00:00,Friday,4.0,0.0,9.10687229360443,502.7282082252756,0.15,29.21,0.0,64.83,0.73,9.252473064592833,4.730281301923758
2025-03-14 04:30:00,Friday,4.5,0.0,11.773559349645506,508.5939530468515,0.15,29.37,0.0,73.38,1.4,9.73511989811648,4.9196034214030275
2025-03-14 05:00:00,Friday,5.0,0.0,21.01522510596599,507.92182599846984,0.15,27.78,0.0,71.24,2.12,9.85402366458719,4.5855928437810265
2025-03-14 05:30:00,Friday,5.5,0.0,11.6055077042589,508.8581940782504,0.15,28.12,0.0,77.53,1.83,10.128775195361381,4.97134540101135
2025-03-14 06:00:00,Friday,6.0,0.0,14.37138650071483,496.0175661963354,0.15,27.35,0.1,80.04,1.9,10.150773671166807,6.293439475525709
2025-03-14 06:30:00,Friday,6.5,6.973786325847609,15.78024867087218,505.23239230657435,0.15,25.78,0.0,71.81,2.95,10.702602652939094,6.563149567409969
2025-03-14 07:00:00,Friday,7.0,13.246067148083926,15.097370521328312,496.41560129943474,0.2,27.46,0.22,75.16,2.84,9.388563231662346,6.585455935266834
2025-03-14 07:30:00,Friday,7.5,19.30013251840281,17.35822646614242,496.8213270210052,0.2,24.73,0.0,77.72,2.15,10.113729967302065,6.735327894360141
2025-03-14 08:00:00,Friday,8.0,25.574126445890013,10.744157525626115,1016.9164727385999,0.2,25.01,0.0,77.33,3.65,15.092997690765312,6.773219348679474
2025-03-14 08:30:00,Friday,8.5,29.7810351335586,16.599534138698193,1008.1928717897877,0.2,25.13,0.03,75.4,2.61,16.434543174624604,6.914358579472084
2025-03-14 09:00:00,Friday,9.0,35.08759063520549,16.54092447605008,999.7619909447781,0.2,24.13,0.0,79.68,3.83,17.027755087857763,6.744952565288227
2025-03-14 09:30:00,Friday,9.5,39.529632925392114,18.42482251810672,1001.7929317400028,0.2,22.29,0.0,81.34,3.86,17.61409551134322,6.814088758730828
2025-03-14 10:00:00,Friday,10.0,44.13489625684758,15.606484675887607,998.4231708732257,0.2,22.34,0.0,77.25,3.62,16.199800345864464,7.004266245596559
2025-03-14 10:30:00,Friday,10.5,49.259501196556194,18.643391711836696,1001.5529318580577,0.2,21.7,0.0,75.52,3.59,16.197076468254767,6.925378159465873
2025-03-14 11:00:00,Friday,11.0,50.208968357395236,13.628500637319323,1008.4502168009751,0.2,22.11,0.0,78.04,4.47,16.43766143642443,6.687823312983919
2025-03-14 11:30:00,Friday,11.5,52.09726056960351,25.467401683555106,1017.3972165766942,0.2,20.09,0.0,84.22,3.99,16.63161692958046,7.182963510672561
2025-03-14 12:00:00,Friday,12.0,52.47896334718051,19.591731298245612,1001.2674885791984,0.2,20.61,0.19,76.83,3.11,15.950113179355643,6.912948320868123
2025-03-14 12:30:00,Friday,12.5,48.270219125714945,19.176190140140978,993.8118153795565,0.2,20.25,0.0,77.61,4.32,15.188743357798003,7.045456303812215
