Timestamp,Temperature_C,Wind_km_h,Humidity_%,Precipitation_mm
2025-01-10 0:00,21,9,92,0
2025-01-10 1:00,21,9,93,0
2025-01-10 2:00,20,11,95,0
2025-01-10 3:00,20,7,95,0
2025-01-10 4:00,20,13,96,0
2025-01-10 5:00,20,13,96,0
2025-01-10 6:00,20,11,95,0
2025-01-10 7:00,20,9,96,0
2025-01-10 8:00,21,9,95,0
2025-01-10 9:00,20,13,94,0
2025-01-10 10:00,22,11,91,0
2025-01-10 11:00,23,9,85,0
2025-01-10 12:00,24,9,82,0
2025-01-10 13:00,24,15,80,0
2025-01-10 14:00,23,13,79,0
2025-01-10 15:00,24,9,78,0
2025-01-10 16:00,23,11,81,0
2025-01-10 17:00,23,13,80,0
2025-01-10 18:00,23,9,84,0
2025-01-10 19:00,23,15,84,0
2025-01-10 20:00,23,13,86,0
2025-01-10 21:00,22,17,90,0
2025-01-10 22:00,22,20,91,0
2025-01-10 23:00,22,24,91,0
2025-01-11 0:00,20,9,90,0
2025-01-11 1:00,20,9,92,0
2025-01-11 2:00,20,7,94,0
2025-01-11 3:00,20,7,95,0
2025-01-11 4:00,21,4,95,0
2025-01-11 5:00,20,6,94,0
2025-01-11 6:00,20,9,95,0
2025-01-11 7:00,20,7,95,0
2025-01-11 8:00,20,7,94,0
2025-01-11 9:00,21,7,92,0
2025-01-11 10:00,22,15,88,0
2025-01-11 11:00,22,15,91,0
2025-01-11 12:00,22,15,88,0
2025-01-11 13:00,22,15,91,0
2025-01-11 14:00,22,13,93,0
2025-01-11 15:00,22,7,90,0
2025-01-11 16:00,23,7,87,0
2025-01-11 17:00,24,13,83,0
2025-01-11 18:00,23,19,86,0
2025-01-11 19:00,23,17,85,0
2025-01-11 20:00,22,13,87,0
2025-01-11 21:00,22,15,86,0
2025-01-11 22:00,21,7,85,0
2025-01-11 23:00,21,6,87,0
2025-01-12 0:00,20,9,90,0
2025-01-12 1:00,20,4,91,0
2025-01-12 2:00,20,6,92,0
2025-01-12 3:00,20,2,93,0
2025-01-12 4:00,20,7,91,0
2025-01-12 5:00,19,0,93,0
2025-01-12 6:00,19,6,91,0
2025-01-12 7:00,21,6,89,0
2025-01-12 8:00,23,2,81,0
2025-01-12 9:00,24,19,79,0
2025-01-12 10:00,25,19,80,0
2025-01-12 11:00,25,28,78,0
2025-01-12 12:00,26,24,74,0
2025-01-12 13:00,25,28,77,0
2025-01-12 14:00,25,32,76,0
2025-01-12 15:00,25,28,77,0
2025-01-12 16:00,24,33,81,0
2025-01-12 17:00,24,35,83,0
2025-01-12 18:00,24,33,82,0
2025-01-12 19:00,24,30,83,0
2025-01-12 20:00,24,22,81,0
2025-01-12 21:00,23,19,81,0
2025-01-12 22:00,23,15,82,0
2025-01-12 23:00,23,15,81,0
2025-01-13 0:00,23,11,85,0
2025-01-13 1:00,23,0,85,0
2025-01-13 2:00,23,9,85,0
2025-01-13 3:00,22,6,85,0
2025-01-13 4:00,22,20,84,0
2025-01-13 5:00,22,11,86,0
2025-01-13 6:00,22,17,88,0
2025-01-13 7:00,22,0,87,0
2025-01-13 8:00,22,6,85,0
2025-01-13 9:00,23,4,85,0
2025-01-13 10:00,25,15,78,0
2025-01-13 11:00,25,17,78,0
2025-01-13 12:00,26,17,74,0
2025-01-13 13:00,26,17,76,0
2025-01-13 14:00,26,17,77,0
2025-01-13 15:00,26,15,75,0
2025-01-13 16:00,25,9,81,0
2025-01-13 17:00,24,13,80,0
2025-01-13 18:00,24,22,87,0
2025-01-13 19:00,23,19,90,0
2025-01-13 20:00,23,13,90,0
2025-01-13 21:00,23,13,91,0
2025-01-13 22:00,23,15,92,0
2025-01-14 0:00,22,6,90,0
2025-01-14 1:00,21,9,91,0
2025-01-14 2:00,21,13,89,0
2025-01-14 3:00,22,11,90,0
2025-01-14 4:00,22,7,90,0
2025-01-14 5:00,22,26,92,0
2025-01-14 6:00,22,19,92,0
2025-01-14 7:00,22,7,89,0
