start,end,duration_hours
2024-12-01 00:00:00+11:00,2024-12-01 16:00:00+11:00,16
2024-12-02 09:00:00+11:00,2024-12-02 13:00:00+11:00,4
2024-12-03 15:00:00+11:00,2024-12-03 19:00:00+11:00,4
2024-12-04 03:00:00+11:00,2024-12-04 06:00:00+11:00,3
2024-12-14 10:00:00+11:00,2024-12-15 07:00:00+11:00,21
2024-12-16 09:00:00+11:00,2024-12-16 21:00:00+11:00,12
2024-12-23 08:00:00+11:00,2024-12-24 19:00:00+11:00,35
2024-12-27 08:00:00+11:00,2024-12-27 23:00:00+11:00,15
2024-12-29 08:00:00+11:00,2024-12-29 15:00:00+11:00,7
2025-01-05 22:00:00+11:00,2025-01-06 02:00:00+11:00,4
2025-01-07 06:00:00+11:00,2025-01-07 10:00:00+11:00,4
2025-01-07 13:00:00+11:00,2025-01-07 19:00:00+11:00,6
2025-01-08 23:00:00+11:00,2025-01-09 11:00:00+11:00,12
2025-01-10 10:00:00+11:00,2025-01-10 13:00:00+11:00,3
2025-01-15 22:00:00+11:00,2025-01-16 01:00:00+11:00,3
2025-01-16 06:00:00+11:00,2025-01-16 23:00:00+11:00,17
2025-01-17 02:00:00+11:00,2025-01-18 17:00:00+11:00,39
2025-01-20 08:00:00+11:00,2025-01-20 11:00:00+11:00,3
